product_code,default_billing_dimension,billing_dimensions,usage_unit,usage_page_name,dimension,dimension_name,netsuite_name,revenue_accounting_name,salesforce_name,salesforce_display_name,website_name,datadog_product,product_name,usage_page_category,salesforce_family,salesforce_product_category,salesforce_product_family,website_product_category,website_product_nav_category,rda_product_category,rda_product_family,revenue_accounting_category,fpa_product_family,fpa_public_reporting_group
APM-DEVSECOPS,apm_devsecops,apm_devsecops,host,APM DevSecOps Hosts,apm_devsecops_host,APM DevSecOps Hosts,,Committed APM DevSecOps|On-Demand APM DevSecOps,APM DevSecOps,APM DevSecOps,APM DevSecOps,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM DevSecOps,APM DevSecOps*
APM-ENT-DEVSECOPS,apm_ent_devsecops,apm_ent_devsecops,host,APM DevSecOps Enterprise Hosts,apm_devsecops_host_ent,APM DevSecOps Enterprise Hosts,Committed APM DevSecOps (Enterprise),Committed APM DevSecOps (Enterprise),APM DevSecOps Enterprise,APM DevSecOps Enterprise,APM DevSecOps Enterprise,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM DevSecOps,APM DevSecOps*
APM-PRO-DEVSECOPS,apm_pro_devsecops,apm_pro_devsecops,host,APM DevSecOps Pro Hosts,apm_devsecops_host_pro,APM DevSecOps Pro Hosts,,Committed APM DevSecOps Pro,APM DevSecOps Pro,APM DevSecOps Pro,APM DevSecOps Pro,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM DevSecOps,APM DevSecOps*
FARGATE-APM,apm_fargate,apm_fargate,fargate task,APM Fargate Tasks,apm_fargate_task,APM Fargate Tasks,Committed Fargate Tasks (APM),Committed Fargate Tasks (APM)|On-Demand Fargate Tasks (Application Security)|On-Demand Parallel Testing,Fargate Tasks (APM),Fargate Tasks (APM),Fargate (APM),apm,APM,apm,Fargate Tasks,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - Synthetics|Invoicing - Monitoring,Other APM,APM
FARGATE-APMCP,fargate_container_apm_and_profiler,fargate_container_apm_and_profiler,profiled task,APM Fargate Tasks (+Profiler add-on),apm_fargate_task,APM Fargate Tasks (+Profiler add-on),Committed Fargate (APM and Continuous Profiler),Committed Fargate (APM and Continuous Profiler),Fargate Tasks (APM Enterprise),Fargate Tasks (APM Enterprise),Fargate (APM Enterprise),apm,APM,apm,Fargate Tasks,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - Monitoring,APM Bundle,APM Bundle*
HOSTS-APM,apm_host,apm_host|apm_host_no_usm,APM host,APM Hosts,apm_host,APM Hosts,Committed APM,Committed APM,APM Hosts,APM Host Add On,APM,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM Hosts,APM
HOSTS-APMCP,apm_profiler_host,apm_profiler_host,APM host,APM Hosts (+Profiler add-on),apm_host,APM Hosts (+Profiler add-on),Committed Hosts-APMCP,Committed Hosts-APMCP,APM Hosts with Continuous Profiler,APM Host with Continuous Profiler Add On,,apm,APM,apm,APM,APM,APM,,,apm,apm,Invoicing - APM,APM Bundle,APM Bundle*
APM-HOST-ENT,apm_host_enterprise,apm_host_enterprise,APM host,APM Enterprise Hosts,apm_host_enterprise,APM Enterprise Hosts,Committed APM (Enterprise),Committed APM Enterprise,APM Enterprise,APM Enterprise,APM Enterprise,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM Bundle,APM Bundle*
APM-HOST-PRO,apm_host_pro,apm_host_pro,APM host,APM Pro Hosts,apm_host_pro,APM Pro Hosts,Committed APM (Pro),Committed APM Pro,APM Pro,APM Pro,APM Pro,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM Hosts,APM
APPSEC-FARGATE-SCA,application_security_sca_fargate_task,application_security_sca_fargate_task,,,application_security_sca_fargate_task,Application Security - Software Composition Analysis (SCA) Fargate Tasks,,,,,,application_security,Application Security,,,,,,,,,,,
APPSEC-VM-OSS-HOSTS,application_vulnerability_management_oss_host,application_vulnerability_management_oss_host,host,Application Security - Software Composition Analysis (SCA) Host,application_security_sca_host,Application Security - Software Composition Analysis (SCA) Host,Committed Application Vulnerability Management - OSS,Committed ASM - Vulnerability Management OSS|On-Demand ASM - Vulnerability Management OSS,ASM - Software Composition Analysis,ASM - Software Composition Analysis,Software Composition Analysis,application_security,Application Security,security,Security,Application Security,Security,Software Composition Analysis,Security,application security,security,Invoicing - Security,AppSec,AppSec
FARGATE-ASM,application_security_fargate,application_security_fargate,task,ASM - Threat Management Fargate Tasks,asm_fargate_task,ASM - Threat Management Fargate Tasks,Committed Fargate Tasks (Application Security),Committed Fargate Tasks (Application Security),Fargate Tasks (ASM-Threat Management),Fargate Tasks (ASM-Threat Management),Fargate Task (ASM),application_security,Application Security,security,Fargate Tasks,Application Security,Security,Application Security Management,Security,application security,security,Invoicing - Monitoring,AppSec,AppSec
APPSEC-HOSTS,application_security_host,application_security_host,host,ASM - Threat Management Hosts,asm_host,ASM - Threat Management Hosts,Committed ASM - Threat Management,Committed ASM - Threat Management,ASM - Threat Management,ASM - Threat Management,Application Security Management,application_security,Application Security,security,Security,Application Security,Security,Application Security Management,Security,application security,security,Invoicing - Security,AppSec,AppSec
SERVERLESS-ASM,serverless_asm,serverless_asm,traced invocation,ASM Threat Management - Traced Invocations,asm_traced_invocation,ASM Threat Management - Traced Invocations,Committed ASM - Serverless (Bundle of 1M),Committed ASM - Serverless (Bundle of 1M),ASM - Serverless (Bundle of 1M),ASM - Serverless,Serverless ASM,application_security,Application Security,security,Security,Application Security,Security,Application Security Management,Security,application security,security,Invoicing - Security,AppSec,AppSec
AUDIT-TRAIL,audit_trail,audit_trail,org,Audit Trail,audit_trail,Audit Trail,Committed Audit Trail,Committed Audit Trail,Audit Trail,Audit Trail *,Audit Trail,audit_trail,Audit Trail,audit-trail,,Audit Trail,Logs,Audit Trail,Logs,audit trail,logs,Invoicing - Monitoring,Audit Trail,Logs
SPA-VIS,ci_indexed_spans,ci_indexed_spans,,,ci_indexed_spans,unconfigured,,,CI Indexed Spans - 30 Days (Bundle of 1M),CI Indexed Spans - 30 Days,,unconfigured,unconfigured,,CI Visibility,CI Visibility,CI Visibility,,,ci visibility,ci visibility,,CI,CI
PIP-VIS,ci_pipeline,ci_pipeline,committer,CI Visibility Committers,ci_visibility_committers,CI Visibility Committers,Committed Pipeline Visibility,Committed Pipeline Visibility,Pipeline Visibility,Pipeline Visibility,Pipeline Visibility,software_delivery,Software Delivery,software-delivery,CI Visibility,CI Visibility,CI Visibility,CI Visibility,Software Delivery,ci visibility,ci visibility,Invoicing - CI Visibility,CI,CI
PIP-SPA-VIS,ci_pipeline_indexed_spans,ci_pipeline_indexed_spans,span,CI Visibility Spans,ci_visibility_spans,CI Visibility Spans,Committed CI Indexed Spans for Pipeline Visibility- 30 Days (Bundle of 1M),Committed CI Indexed Spans for Pipeline Visibility- 30 Days (Bundle of 1M),CI Indexed Spans for Pipeline Visibility- 30 Days (Bundle of 1M),CI Indexed Spans for Pipeline Visibility - 30 Days,,software_delivery,Software Delivery,software-delivery,CI Visibility,CI Visibility,CI Visibility,,,ci visibility,ci visibility,Invoicing - CI Visibility,CI,CI
CCM,cloud_cost_management,cloud_cost_management,host,Cloud Cost Hosts,cloud_cost_host,Cloud Cost Hosts,Committed Cloud Cost Management,Committed Cloud Cost Management,Cloud Cost Management,Cloud Cost Management,Cloud Cost Management,cloud_cost_management,Cloud Cost Management,cloud-cost-management,Infrastructure,Infrastructure,Infrastructure,Cloud Cost Management,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Cloud Cost,Cloud Cost
CA-SAST,code_analysis_sa_committers,code_analysis_sa_committers,,,code_analysis_sa_committers,unconfigured,,,SAST,SAST,,unconfigured,unconfigured,,Software Delivery,,,,,,,,,
CA-SAST-SCA-BUNDLE,code_analysis_sa_sca_bundle,code_analysis_sa_sca_bundle,,,code_analysis_sa_sca_bundle,unconfigured,,,,,,unconfigured,unconfigured,,,,,,,,,,,
CA-STATIC-SCA,code_analysis_sca_committers,code_analysis_sca_committers,,,code_analysis_sca_committers,unconfigured,,,Static SCA,Static SCA,,unconfigured,unconfigured,,Software Delivery,,,,,,,,,
CODE-SECURITY-HOST,code_security_host,code_security_host,,,code_security_host,unconfigured,,,,,,unconfigured,unconfigured,,,,,,,,,,,
COSCREEN-ENT,coscreen_seat,coscreen_seat,,,coscreen_seat,unconfigured,,Committed CoScreen Enterprise,CoScreen Enterprise,CoScreen Enterprise,,unconfigured,unconfigured,,Incident Management,Incident Management,Incident Management,,,incident management,incident management,Invoicing - Incident Management,Other Infra,Infrastructure
CSM-CONT-ENT,csm_container_enterprise,csm_container_enterprise,container,Cloud Security Management Containers Enterprise,csm_container_ent,Cloud Security Management Containers Enterprise,Committed CSM Containers (Enterprise),On-Demand CSM Containers (Enterprise)|Committed CSM Containers (Enterprise),CSM Enterprise Containers,CSM Enterprise Containers,CSM Enterprise Containers (Container Hour),cloud_security_management,Cloud Security Management,security,Container,Cloud Security Management,Security,Cloud Security Management,Security,cloud security management,security,Invoicing - Security,CSM,CSM
CSM-CONT-PRO,csm_container_pro,csm_container_pro,,,csm_container_pro,unconfigured,Committed CSM Containers (Pro),Committed CSM Containers (Pro),CSM Pro Containers,CSM Pro Containers,,cloud_security_management,Cloud Security Management,,Container,Cloud Security Management,Security,,,cloud security management,security,Invoicing - Security,CSM,CSM
SEC-CONT,cspm_container,cspm_container,container,Cloud Security Management Containers Pro,csm_container_pro,Cloud Security Management Containers Pro,Committed CSPM Containers (Security),Committed CSPM Containers (Security),CSPM Containers (Security),CSPM Containers (Security),CSM Pro Containers (Container Hour),cloud_security_management,Cloud Security Management,security,Container,CSPM,Security,Cloud Security Management,Security,cspm,security,Invoicing - Security,CSM,CSM
CSM-HOST-ENT,csm_host_enterprise,csm_host_enterprise,host,Cloud Security Management Hosts Enterprise,csm_host_ent,Cloud Security Management Hosts Enterprise,Committed CSM Host (Enterprise),On-Demand CSM Host (Enterprise)|Committed CSM Host (Enterprise),CSM Enterprise Host,CSM Enterprise Host,Cloud Security Management Enterprise,cloud_security_management,Cloud Security Management,security,Security,Cloud Security Management,Security,Cloud Security Management,Security,security monitoring,security,Invoicing - Security,CSM,CSM
CSM-HOST-PRO,csm_host_pro,csm_host_pro,host,Cloud Security Management Hosts Pro,csm_host_pro,Cloud Security Management Hosts Pro,Committed CSM Host (Pro),On-Demand CSM Host (Pro)|Committed CSM Host (Pro),CSM Pro Host,CSM Pro Host,Cloud Security Management Pro,cloud_security_management,Cloud Security Management,security,Security,Cloud Security Management,Security,Cloud Security Management,Security,security monitoring,security,Invoicing - Security,CSM,CSM
SEC-HOSTS,cspm_host,cspm_host,host,Cloud Security Management Hosts Pro,csm_host_pro,Cloud Security Management Hosts Pro,Committed CSPM Hosts (Security),Committed CSPM Hosts (Security),CSPM Hosts (Security),CSPM Hosts (Security),,cloud_security_management,Cloud Security Management,security,Security,CSPM,Security,,,cspm,security,Invoicing - Security,CSM,CSM
CUSTOM-EVENTS,custom_event,custom_event,custom event,Custom Events,custom_event,Custom Events,Committed Custom Events (bundle of 100K),On-Demand Cloud Cost Management|Committed Custom Events (bundle of 100K),Custom Events (bundle of 100K),Custom Events,Custom Events,event_management,Event Management,events,Custom Events,Infrastructure,Infrastructure,Infrastructure,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Other Infra,Infrastructure
CM-05,timeseries,timeseries,custom metric,Custom Metrics,custom_metrics,Custom Metrics,Committed Custom Metrics,,Custom Metrics (bundle of 5),Custom Metrics,,custom_metrics,Custom Metrics,custom-metrics,Custom Metrics,Infrastructure,Infrastructure,,,,,,Custom Metrics,Infrastructure
