product_code,default_billing_dimension,billing_dimensions,usage_unit,usage_page_name,dimension,dimension_name,netsuite_name,revenue_accounting_name,salesforce_name,salesforce_display_name,website_name,datadog_product,product_name,usage_page_category,salesforce_family,salesforce_product_category,salesforce_product_family,website_product_category,website_product_nav_category,rda_product_category,rda_product_family,revenue_accounting_category,fpa_product_family,fpa_public_reporting_group
TRACE-60DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Indexed Spans - 60 Days (Bundle of 1M),Indexed Spans (60 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
TRACE-65K,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,,,Indexed Spans - 15 Days (Bundle of 65K),Indexed Spans (15 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
TRACE-7DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Indexed Spans - 7 Days (Bundle of 1M),Indexed Spans (7 Day Retention Period),APM - Indexed Spans (7-day retention),apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,,,,Indexed Spans,APM
TRACE-90DAY,apm_trace_search,apm_trace_search,indexed span,Indexed Spans,indexed_spans,Indexed Spans,Committed Indexed Spans,,Indexed Spans - 90 Days (Bundle of 1M),Indexed Spans (90 Day Retention Period),,apm,APM,apm,APM,APM,APM,,,,,,Indexed Spans,APM
CONT,infra_container,infra_container,container,Containers,infra_container,Containers,Committed Infrastructure Containers,Committed Infrastructure Containers,Containers,Containers,Container Monitoring (Container Hour),infrastructure,Infrastructure,infrastructure,Container,Infrastructure,Infrastructure,Infrastructure,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Containers,Infrastructure
CONT-EXCL-AGENT,infra_container_excl_agent,infra_container_excl_agent,container,Containers,infra_container,Containers,Committed Infrastructure Containers,,Containers,Containers,,infrastructure,Infrastructure,infrastructure,Container,Infrastructure,Infrastructure,,,infrastructure,infrastructure,,Containers,Infrastructure
HOST-DEVSECOPS-ENT,host_devsecops_ent,host_devsecops_ent,host,Infra DevSecOps Enterprise Hosts,infra_devsecops_host_ent,Infra DevSecOps Enterprise Hosts,Committed Infra DevSecOps (Enterprise),Committed Infra DevSecOps (Enterprise)|On-Demand Infra DevSecOps (Enterprise),Infra DevSecOps (Enterprise),Infra DevSecOps (Enterprise),DevSecOps Enterprise,infrastructure,Infrastructure,infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Infra DevSecOps,Infra DevSecOps*
HOST-DEVSECOPS-PRO,HOST-DEVSECOPS-PRO,host_devsecops_pro,host,Infra DevSecOps Pro Hosts,infra_devsecops_host_pro,Infra DevSecOps Pro Hosts,Committed Infra DevSecOps (Pro),On-Demand Infra DevSecOps (Pro)|Committed Infra DevSecOps (Pro),Infra DevSecOps (Pro),Infra DevSecOps (Pro),DevSecOps Pro,infrastructure,Infrastructure,infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Infra DevSecOps,Infra DevSecOps*
HOST-DEVSECOPS-PROPLUS,host_devsecops_proplus,host_devsecops_proplus,host,Infra DevSecOps Pro Plus Hosts,infra_devsecops_host_proplus,Infra DevSecOps Pro Plus Hosts,,On-Demand Infra DevSecOps (Pro Plus)|Committed Infra DevSecOps (Pro Plus),Infra DevSecOps (Pro Plus),Infra DevSecOps (Pro Plus),,infrastructure,Infrastructure,infrastructure,Infrastructure,Infrastructure,Infrastructure,,,infrastructure,infrastructure,Invoicing - Monitoring,Infra DevSecOps,Infra DevSecOps*
HOSTS-ENTERP,infra_host,infra_host,infra host,Infra Hosts,infra_host,Infra Hosts,Committed Infrastructure Host (Enterprise),Committed Infrastructure Host (Enterprise),Infra Host (Enterprise),Infra Host (Enterprise),Infrastructure Enterprise,infrastructure,Infrastructure,infrastructure,Enterprise,Infrastructure,Infrastructure,Infrastructure,Infrastructure,,,Invoicing - Monitoring,Infra Hosts,Infrastructure
