private_dns_name,service_name,tags
peru.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0acd86d44987b6d4e,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_profile dd-pool-service:unassigned load-balancer/color:peru load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_profile load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
purple.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0945c1461c36f1e90,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_all_rum dd-pool-service:edge-pool1 load-balancer/color:purple load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_all_rum load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
cyan.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0d936da0e6a30d3cd,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_all dd-pool-service:edge-pool1 load-balancer/color:cyan load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_all load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
orange.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-01911394f8bac8056,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:web_ddog dd-pool-service:edge-pool2 load-balancer/color:orange load-balancer/customer-facing:true load-balancer/gateways-frontend:web_ddog load-balancer/gateways-pool:edge-pool2 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
fuchsia.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0b8473dde46b2f73b,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_internal dd-pool-service:edge-pool1 load-balancer/color:fuchsia load-balancer/customer-facing:false load-balancer/gateways-frontend:evp_internal load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
red.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-01d5898923af2ddc8,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_agent dd-pool-service:unassigned load-balancer/color:red load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_agent load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
teal.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-053eb40d2f27b4276,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_awsmetrics dd-pool-service:unassigned load-balancer/color:teal load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_awsmetrics load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
linen.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-031da3ffac78ef902,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_orchestrator dd-pool-service:edge-pool1 load-balancer/color:linen load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_orchestrator load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
blue.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-01e2749032a8b1b90,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_browser dd-pool-service:unassigned load-balancer/color:blue load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_browser load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
beige.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-06a30d6a016b746ff,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:metrics_agent dd-pool-service:edge-pool0 load-balancer/color:beige load-balancer/customer-facing:true load-balancer/gateways-frontend:metrics_agent load-balancer/gateways-pool:edge-pool0 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
silver.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-02546adaf36f386aa,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_apm_ddog dd-pool-service:edge-pool1 load-balancer/color:silver load-balancer/customer-facing:false load-balancer/gateways-frontend:evp_apm_ddog load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
green.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-040d4694353f1958b,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:oncall_paging_primary dd-pool-service:edge-pool2 load-balancer/color:green load-balancer/customer-facing:true load-balancer/gateways-frontend:oncall_paging_primary load-balancer/gateways-pool:edge-pool2 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
indigo.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0545109555aa68e7e,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:logs_livetail dd-pool-service:edge-pool0 load-balancer/color:indigo load-balancer/customer-facing:true load-balancer/gateways-frontend:logs_livetail load-balancer/gateways-pool:edge-pool0 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
lime.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0f3e01f4180b2ae09,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_apm dd-pool-service:edge-pool1 load-balancer/color:lime load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_apm load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
gray.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-062eed913b8c463b3,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_rum dd-pool-service:unassigned load-balancer/color:gray load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_rum load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
brown.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-04c61207a01a73496,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:hamr_metrics_agent dd-pool-service:edge-pool0 load-balancer/color:brown load-balancer/customer-facing:true load-balancer/gateways-frontend:hamr_metrics_agent load-balancer/gateways-pool:edge-pool0 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
khaki.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-08f348617178337ac,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_cireport dd-pool-service:unassigned load-balancer/color:khaki load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_cireport load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
